,title,platform,score,genre,release_year
5259,The Lord of the Rings: The Return of the King,GameCube,"(8, 9]",Action,2003
5261,The Lord of the Rings: The Return of the King,"Xbox (360,One)","(8, 9]",Action,2003
5262,Sid Meier's Civilization III: Conquests,PC,"(8, 9]",Strategy,2003
5263,True Crime: Streets of L.A.,GameCube,"(8, 9]",Action,2003
5264,Super Trucks Racing,PlayStation (1-4),"(6, 7]",Racing,2003
5265,True Crime: Streets of L.A.,"Xbox (360,One)","(8, 9]",Action,2003
5266,True Crime: Streets of L.A.,PlayStation (1-4),"(8, 9]",Action,2003
5267,Digimon: BattleSpirit 2,Game Boy (C/A),"(6, 7]",Fighting,2003
5268,Hot Wheels: World Race,PlayStation (1-4),"(3, 4]",Racing,2003
5269,SpongeBob SquarePants: The Battle For Bikini Bottom,GameCube,"(7, 8]",Platformer,2003
5270,MTV's Celebrity Deathmatch,PC,"(4, 5]",Fighting,2003
5271,MTV's Celebrity Deathmatch,PlayStation (1-4),"(3, 4]",Fighting,2003
5272,MTV's Celebrity Deathmatch,"Xbox (360,One)","(4, 5]",Fighting,2003
5273,Hot Wheels: World Race,GameCube,"(3, 4]",Racing,2003
5274,SpongeBob SquarePants: The Battle For Bikini Bottom,"Xbox (360,One)","(7, 8]",Platformer,2003
5275,Need for Speed Underground,GameCube,"(8, 9]",Racing,2003
5276,ESPN College Hoops,PlayStation (1-4),"(8, 9]",Sports,2003
5277,FIFA Soccer 2004,Game Boy (C/A),"(8, 9]",Sports,2003
5278,Sphinx and the Cursed Mummy,PlayStation (1-4),"(8, 9]",Action,2003
5279,Need for Speed Underground,PC,"(8, 9]",Racing,2003
5280,Magical Quest 2 Starring Mickey and Minnie,Game Boy (C/A),"(4, 5]",Platformer,2003
5281,Dead to Rights,PC,"(7, 8]",Action,2003
5282,FIFA Soccer 2004,PC,"(8, 9]",Sports,2003
5283,Risk: Global Domination,PlayStation (1-4),"(2, 3]",Board,2003
5284,Batman: Rise of Sin Tzu,Game Boy (C/A),"(5, 6]",Action,2003
5285,Sphinx and the Cursed Mummy,GameCube,"(8, 9]",Action,2003
5286,Prince of Persia: The Sands of Time,Game Boy (C/A),"(6, 7]",Action,2003
5287,The Hobbit,"Xbox (360,One)","(7, 8]",Action,2003
5288,Crash Nitro Kart,PlayStation (1-4),"(7, 8]",Racing,2003
5289,Crash Nitro Kart,"Xbox (360,One)","(7, 8]",Racing,2003
5290,Yao Ming Basketball '04,Mobile,"(7, 8]",Sports,2003
5291,The Hobbit,PlayStation (1-4),"(7, 8]",Action,2003
5292,Legacy of Kain: Defiance,PlayStation (1-4),"(7, 8]",Action,2003
5293,Legacy of Kain: Defiance,"Xbox (360,One)","(7, 8]",Action,2003
5294,The Simpsons: Hit & Run,PC,"(8, 9]",Action,2003
5295,The Hobbit,PC,"(7, 8]",Action,2003
5296,The Hobbit,GameCube,"(7, 8]",Action,2003
5297,Goblin Commander: Unleash The Horde,PlayStation (1-4),"(7, 8]",Strategy,2003
5298,Fugitive Hunter: War on Terror,PlayStation (1-4),"(3, 4]",Shooter,2003
5299,Mario Kart: Double Dash!!,GameCube,"(7, 8]",Racing,2003
5300,FIFA Soccer 2004,PlayStation (1-4),"(8, 9]",Sports,2003
5301,Prince of Persia: The Sands of Time,PlayStation (1-4),"(9, 10]",Action,2003
5302,Mario Party 5,GameCube,"(7, 8]",Party,2003
5303,Backyard Hockey,Game Boy (C/A),"(5, 6]",Sports,2003
5304,Metal Arms: Glitch in the System,"Xbox (360,One)","(8, 9]",Shooter,2003
5305,FIFA Soccer 2004,GameCube,"(8, 9]",Sports,2003
5306,Final Fantasy X-2,PlayStation (1-4),"(9, 10]",RPG,2003
5307,Metal Arms: Glitch in the System,PlayStation (1-4),"(8, 9]",Shooter,2003
5308,Frogger's Adventures: The Rescue,GameCube,"(5, 6]",Action,2003
5309,Railroad Tycoon 3,PC,"(8, 9]",Simulation,2003
5310,Tiger Woods PGA Tour 2004,Game Boy (C/A),"(7, 8]",Sports,2003
5311,Frogger's Adventures: The Rescue,PlayStation (1-4),"(5, 6]",Action,2003
5312,Metal Arms: Glitch in the System,GameCube,"(8, 9]",Shooter,2003
5313,School of Rock Audition,Mobile,"(6, 7]",Music,2003
5314,Fire Emblem,Game Boy (C/A),"(9, 10]",Strategy,2003
5316,BlowOut,"Xbox (360,One)","(6, 7]",Shooter,2003
5317,BlowOut,PlayStation (1-4),"(6, 7]",Shooter,2003
5318,Karaoke Revolution [2004],PlayStation (1-4),"(8, 9]",Music,2003
5319,Grand Theft Auto Double Pack: Grand Theft Auto III & Grand Theft Auto: Vice City,"Xbox (360,One)","(9, 10]",Action,2003
5320,Warrior Kings: Battles,PC,"(6, 7]",Strategy,2003
5321,SOCOM II: U.S. Navy SEALs,PlayStation (1-4),"(8, 9]",Shooter,2003
5322,EyeToy: Play,PlayStation (1-4),"(6, 7]",Party,2003
5323,RoadKill,GameCube,"(7, 8]",Racing,2003
5324,The Lord of the Rings: War of the Ring,PC,"(7, 8]",Strategy,2003
5325,Spyro the Dragon: Attack of the Rhynocs,Game Boy (C/A),"(7, 8]",Action,2003
5326,Beyond Good & Evil,GameCube,"(8, 9]",Action,2003
5327,Gothic II,PC,"(7, 8]",Action,2003
5328,Cabela's Dangerous Hunts,PlayStation (1-4),"(6, 7]",Hunting,2003
5329,Goblin Commander: Unleash the Horde,"Xbox (360,One)","(7, 8]",Strategy,2003
5330,I-Ninja,PlayStation (1-4),"(7, 8]",Action,2003
5331,Manhunt,PlayStation (1-4),"(8, 9]",Action,2003
5332,"Warhammer 40,000: Fire Warrior",PlayStation (1-4),"(8, 9]",Shooter,2003
5333,Battle Engine Aquila,PC,"(7, 8]",Shooter,2003
5334,Batman: Rise of Sin Tzu,GameCube,"(6, 7]",Action,2003
5335,Beyond Good & Evil,PC,"(8, 9]",Action,2003
5336,Beyond Good & Evil,PlayStation (1-4),"(8, 9]",Action,2003
5337,Beyond Good & Evil,"Xbox (360,One)","(8, 9]",Action,2003
5338,Double Dragon Advance,Game Boy (C/A),"(6, 7]",Action,2003
5339,Ratchet & Clank: Going Commando,PlayStation (1-4),"(9, 10]",Platformer,2003
5340,Bionicle: The Game,GameCube,"(3, 4]",Action,2003
5341,I-Ninja,GameCube,"(7, 8]",Action,2003
5342,Samurai Jack: Samurai Showdown,Mobile,"(4, 5]",Action,2003
5343,Rayman Bowling,Mobile,"(7, 8]",Sports,2003
5344,Fairly OddParents: Breakin' Da Rules,PlayStation (1-4),"(4, 5]",Action,2003
5345,Secret Weapons Over Normandy,PlayStation (1-4),"(7, 8]",Simulation,2003
5346,Crash Nitro Kart,GameCube,"(7, 8]",Racing,2003
5347,Crash Nitro Kart,Game Boy (C/A),"(7, 8]",Racing,2003
5348,FIFA Soccer 2004,"Xbox (360,One)","(8, 9]",Sports,2003
5349,Medal of Honor: Rising Sun,GameCube,"(7, 8]",Shooter,2003
5350,Hunter: The Reckoning Redeemer,"Xbox (360,One)","(8, 9]",Action,2003
5351,Bionicle: The Game,PlayStation (1-4),"(3, 4]",Action,2003
5352,Medal of Honor: Rising Sun,"Xbox (360,One)","(7, 8]",Shooter,2003
5353,Wakeboarding Unleashed Featuring Shaun Murray,Game Boy (C/A),"(6, 7]",Sports,2003
5354,Prince of Persia: The Sands of Time,"Xbox (360,One)","(9, 10]",Action,2003
5355,Medal of Honor: Rising Sun,PlayStation (1-4),"(7, 8]",Shooter,2003
5356,Secret Weapons Over Normandy,PC,"(7, 8]",Simulation,2003
5357,XIII,PlayStation (1-4),"(7, 8]",Shooter,2003
5358,XIII,PC,"(7, 8]",Shooter,2003
5359,Project Gotham Racing 2,"Xbox (360,One)","(9, 10]",Racing,2003
5361,The Black Mirror,PC,"(7, 8]",Adventure,2003
5362,Amplitude: P.O.D. Special Edition,PlayStation (1-4),"(6, 7]",Music,2003
5363,The Lord of the Rings: The Return of the King,Game Boy (C/A),"(7, 8]",Action,2003
